"ID","chrom","loc.start","loc.end","num.mark","seg.mean"
"Sample.1","chr2",76085000,76405000,33,-0.0412
"Sample.1","chr2",76415000,84025000,759,-0.1063
"Sample.1","chr2",84035000,84415000,39,-0.0436
"Sample.1","chr2",84425000,85355000,94,0.057
"Sample.1","chr2",85365000,88645000,202,1.9638
"Sample.1","chr2",88655000,89125000,43,0.0481
"Sample.1","chr2",89135000,89155000,3,-0.7965
"Sample.1","chr2",89165000,89305000,14,-1.8982
"Sample.1","chr2",89835000,90245000,9,0.448
"Sample.1","chr2",91765000,91815000,6,2.4756
"Sample.1","chr2",92265000,100375000,361,0.0606
"Sample.1","chr2",100385000,103355000,290,-0.017
"Sample.1","chr2",103365000,105275000,192,-0.1049
"Sample.1","chr2",105285000,107375000,192,-0.0081
"Sample.1","chr2",107385000,108605000,112,-0.0966
"Sample.1","chr2",108615000,108735000,13,0.0016
"Sample.1","chr2",108745000,110985000,143,0.0266
"Sample.1","chr2",111395000,114695000,243,0.0781
"Sample.1","chr2",114705000,115525000,83,1.9483
"Sample.1","chr2",115535000,115885000,36,1.7803
"Sample.1","chr2",115895000,115935000,5,0.1159
"Sample.1","chr2",115945000,118165000,223,-0.0992
"Sample.1","chr2",118175000,119935000,176,-0.0051
"Sample.1","chr2",119945000,120025000,9,1.9151
"Sample.1","chr2",120035000,121115000,109,0.0641
"Sample.1","chr2",121125000,121865000,75,1.9034
"Sample.1","chr2",121875000,122115000,25,1.9707
"Sample.1","chr2",122125000,122715000,60,2.0539
"Sample.1","chr2",122725000,123095000,38,1.9875
"Sample.1","chr2",123105000,123705000,61,1.8317
"Sample.1","chr2",123715000,127015000,331,-0.0854
"Sample.1","chr2",127025000,127675000,66,-0.032
"Sample.1","chr2",127685000,128815000,114,0.0616
"Sample.1","chr2",128825000,128845000,3,-0.2132
"Sample.1","chr2",128855000,129565000,72,0.0169
"Sample.1","chr2",129575000,134265000,327,-0.0466
"Sample.1","chr2",134275000,136515000,225,0.0334
"Sample.1","chr2",136525000,137625000,111,0.0794
"Sample.1","chr2",137635000,139685000,206,-0.0245
"Sample.1","chr2",139695000,142965000,327,-0.1004
"Sample.1","chr2",142975000,143415000,45,-0.0171
"Sample.1","chr2",143425000,145415000,200,0.0703
"Sample.1","chr2",145425000,147795000,238,-0.0509
"Sample.1","chr2",147805000,150425000,253,0.0152
"Sample.1","chr2",150435000,151625000,120,-0.0472
"Sample.1","chr2",151635000,152485000,84,0.0201
"Sample.1","chr2",152495000,152735000,25,2.0161
"Sample.1","chr2",152745000,153715000,98,0.0549
"Sample.1","chr2",153725000,156795000,308,-0.0635
"Sample.1","chr2",156805000,158085000,128,0.0399
"Sample.1","chr2",158095000,158635000,55,0.1085
"Sample.1","chr2",158645000,158805000,17,0.0226
"Sample.1","chr2",158815000,159895000,108,-0.0259
"Sample.1","chr2",159905000,160535000,64,0.0521
"Sample.1","chr2",160545000,160965000,43,0.1184
"Sample.1","chr2",160975000,161905000,94,0.0297
"Sample.1","chr2",161915000,162235000,33,0.1518
"Sample.1","chr2",162245000,163085000,85,0.0064
"Sample.1","chr2",163095000,166025000,294,-0.0785
"Sample.1","chr2",166035000,167045000,102,-0.0275
"Sample.1","chr2",167055000,168665000,162,-0.0746
"Sample.1","chr2",168675000,175885000,722,0.0637
"Sample.1","chr2",175895000,177295000,141,-0.0274
"Sample.1","chr2",177305000,180185000,287,0.0656
"Sample.1","chr2",180195000,181565000,138,-0.0224
"Sample.1","chr2",181575000,181785000,22,0.0327
"Sample.1","chr2",181795000,182575000,79,0.104
"Sample.1","chr2",182585000,184205000,163,0.0242
"Sample.1","chr2",184215000,190295000,607,-0.0515
"Sample.1","chr2",190305000,190455000,16,0.0254
"Sample.1","chr2",190465000,192815000,236,0.0876
"Sample.1","chr2",192825000,193105000,29,0.0111
"Sample.1","chr2",193115000,195925000,281,-0.0873
"Sample.1","chr2",195935000,196935000,100,0.0467
"Sample.1","chr2",196945000,198605000,167,0.1006
"Sample.1","chr2",198615000,199195000,59,0.0355
"Sample.1","chr2",199205000,200465000,127,-0.0709
"Sample.1","chr2",200475000,201385000,92,0.0281
"Sample.1","chr2",201395000,204375000,299,0.0782
"Sample.1","chr2",204385000,205145000,77,0.0355
"Sample.1","chr2",205155000,206475000,133,-0.052
"Sample.1","chr2",206485000,208025000,155,0.0167
"Sample.1","chr2",208035000,209265000,124,0.0617
"Sample.1","chr2",209275000,209415000,15,-0.0134
"Sample.1","chr2",209425000,210725000,129,-0.0546
"Sample.1","chr2",210735000,211365000,64,0.0014
"Sample.1","chr2",211375000,213245000,188,-0.0779
"Sample.1","chr2",213255000,213655000,41,0.0059
"Sample.1","chr2",213665000,214565000,91,0.0872
"Sample.1","chr2",214575000,216305000,174,-0.0126
"Sample.1","chr2",216315000,217745000,144,0.0741
"Sample.1","chr2",217755000,218945000,120,0.0022
"Sample.1","chr2",218955000,220675000,173,0.0483
"Sample.1","chr2",220685000,222865000,219,-0.045
"Sample.1","chr2",222875000,223185000,31,0.0353
"Sample.1","chr2",223195000,223815000,63,0.0949
"Sample.1","chr2",223825000,226325000,251,0.0314
"Sample.1","chr2",226335000,227405000,108,-0.0556
"Sample.1","chr2",227415000,227665000,26,0.0136
"Sample.1","chr2",227675000,228345000,68,0.0678
"Sample.1","chr2",228355000,228855000,51,-0.0018
"Sample.1","chr2",228865000,230305000,144,-0.0707
"Sample.1","chr2",230315000,230585000,28,0.0218
"Sample.1","chr2",230595000,233065000,246,0.0897
"Sample.1","chr2",233075000,233555000,49,-0.0127
"Sample.1","chr2",233565000,234635000,103,0.0998
"Sample.1","chr2",234645000,235545000,91,0.036
"Sample.1","chr2",235555000,236475000,93,-0.0649
"Sample.1","chr2",236485000,236505000,3,-0.9493
"Sample.1","chr2",236515000,237245000,74,-0.0698
"Sample.1","chr2",237255000,238535000,129,0.0166
"Sample.1","chr2",238545000,238775000,24,0.1132
"Sample.1","chr2",238785000,239615000,84,0.0376
"Sample.1","chr2",239625000,241395000,173,-0.0254
"Sample.1","chr2",241405000,243045000,162,0.0415
